Object,N,SAM3D_CD_norm,RecGen_CD_norm,SAM3D_ADDSS,RecGen_ADDSS
Obj 1,17,0.024,0.017,0.055,0.028
Obj 2,9,0.018,0.018,0.035,0.027
Obj 3,24,0.029,0.036,0.048,0.039
Obj 4,17,0.026,0.023,0.063,0.035
Obj 5,14,0.024,0.019,0.045,0.028
Obj 6,9,0.027,0.021,0.069,0.044
Obj 7,9,0.015,0.015,0.048,0.026
Obj 8,16,0.043,0.037,0.075,0.044
Obj 9,14,0.033,0.022,0.047,0.036
Obj 10,9,0.020,0.018,0.051,0.028
Obj 11,9,0.027,0.018,0.046,0.028
Obj 12,33,0.028,0.035,0.052,0.053
Obj 13,22,0.037,0.032,0.060,0.050
Obj 14,18,0.019,0.018,0.036,0.026
Obj 15,39,0.037,0.052,0.059,0.084
Obj 16,26,0.026,0.101,0.068,0.145
Obj 17,29,0.031,0.033,0.075,0.072
Obj 18,11,0.059,0.016,0.089,0.028
Obj 19,17,0.027,0.019,0.057,0.054
Obj 20,9,0.028,0.019,0.072,0.026
Obj 21,7,0.041,0.029,0.120,0.050
Obj 22,34,0.027,0.022,0.060,0.033
Obj 23,27,0.019,0.014,0.043,0.027
Obj 24,9,0.031,0.019,0.050,0.030
Obj 25,16,0.024,0.019,0.060,0.027
Obj 26,11,0.032,0.027,0.068,0.040
Obj 27,9,0.021,0.021,0.039,0.027
Obj 28,9,0.015,0.012,0.035,0.018
Obj 29,17,0.026,0.018,0.048,0.029
Obj 30,9,0.026,0.021,0.052,0.028
Obj 31,9,0.023,0.023,0.034,0.046
Obj 32,12,0.048,0.021,0.059,0.027
Obj 33,15,0.047,0.038,0.098,0.046
